1:[152.5233  147.79443 358.425  ],[208.68835  86.09162 241.5987 ],[230.05742  119.737595 224.13472 ],[224.72983 131.18463 245.14032],[216.28513 127.93371 262.42294],[177.1322   94.03918 203.7454 ],[191.74278  78.19069 165.94281],[202.77997  71.22298 145.19951],[213.8639   68.20048 129.43303],[143.59935  111.288376 196.69434 ],[145.02635  96.3197  155.8583 ],[148.80836  91.56779 132.11449],[153.56352   89.64441  113.292694],[108.77029 143.14755 192.51152],[103.76383 147.22719 160.14061],[101.227036 150.18852  143.0805  ],[ 99.45105 152.80318 130.98666],[203.21558 180.4796  324.77502],[230.05115 188.91385 306.5674 ],[237.23103 194.84799 274.37015],[215.9684  192.66362 255.4921 ]
503:[126.17235 158.00931 385.877  ],[183.9802    50.234398 427.67844 ],[192.55495   42.658356 385.69324 ],[182.87413  60.43725 371.87854],[174.84587  71.01016 386.173  ],[151.07263   19.972778 418.77655 ],[157.11859  10.1524  376.816  ],[156.30534   20.329725 354.53568 ],[152.23994   37.689114 346.61765 ],[115.05848   19.310722 403.91782 ],[127.22755  -16.199203 381.90332 ],[133.393   -33.46846 365.64252],[138.0612  -46.21935 351.6356 ],[ 72.3643    26.166603 370.1966  ],[ 78.76701    -5.1614094 378.3908   ],[ 82.15833  -21.753832 382.8002  ],[ 84.64996 -33.65538 385.69788],[149.09383 125.10411 331.75845],[166.18553  102.410355 313.9914  ],[161.75862  70.88218 303.51263],[153.47446  44.38257 297.00146]
504:[123.56839  111.654205 418.055   ],[151.88036     4.9625244 478.62555  ],[162.38654  -10.238964 439.2274  ],[160.4777     7.383648 422.30246 ],[154.51712  21.00259 434.93445],[115.13649 -22.14582 456.4961 ],[123.4635   -32.387463 415.02985 ],[124.51107   -8.872629 408.20282 ],[120.99083    1.779583 424.16245 ],[ 81.52709  -17.535973 427.13916 ],[ 88.91299  -28.686344 385.72906 ],[ 88.35202  -13.784473 366.27982 ],[ 83.89814     4.8639507 369.88123  ],[ 48.17569   -2.905098 379.65958 ],[ 59.718376 -11.492644 349.95093 ],[ 60.71082     4.7001963 343.38898  ],[ 57.17319   14.466982 350.34216 ],[170.91202   78.777145 438.14212 ],[192.38533  60.46422 456.20688],[207.63766   35.078373 471.90253 ],[225.14673   19.173698 487.83133 ]
505:[151.88503 175.3037  358.576  ],[203.72462  84.7518  271.44437],[222.68588  60.84806 240.41597],[233.88228  46.79565 223.74792],[243.15285   35.181103 211.1095  ],[164.15778  57.59507 262.94208],[175.55054   24.240417 237.42049 ],[181.49863    6.639946 221.43622 ],[186.02798    -6.8816013 208.12369  ],[125.80577   56.194595 273.1896  ],[123.84752   42.548737 231.91449 ],[117.509186  63.1284   220.21165 ],[115.974625  77.64838  233.14943 ],[ 80.03572  68.28547 278.3418 ],[ 78.449    80.69761 247.79666],[ 82.00175   95.721695 256.03723 ],[ 83.620804  96.6739   268.39536 ],[142.59152 175.90213 283.72015],[143.13184 170.54768 250.64691],[126.21573 149.23918 231.07089],[107.826385 128.76224  223.60234 ]
506:[142.84833 173.36624 396.794  ],[166.2969   100.533455 282.90527 ],[169.30923  80.33447 244.47864],[170.84483  71.83811 221.54161],[172.01768  66.53085 202.80586],[125.21748  88.88394 268.23187],[119.978516  99.403076 226.33221 ],[120.59248 123.23598 220.6516 ],[123.58775 136.78226 234.36646],[ 91.48208   94.334175 277.7039  ],[ 84.73753 101.90145 235.38455],[ 85.86024 126.3804  235.80121],[ 89.29507 132.17323 254.1101 ],[ 54.04694 113.19024 285.39368],[ 53.48919 128.06273 255.93045],[ 62.583305 138.8475   266.286   ],[ 65.22938 137.30415 278.40494],[136.5172  181.04994 322.12567],[136.62296 179.45169 288.65576],[110.40925 165.59894 273.02338],[ 85.88311 153.02014 265.70938]
507:[136.74284 132.66754 381.102  ],[164.09415   43.090195 277.5699  ],[165.24843    9.787128 249.58324 ],[163.28557    -7.7286625 232.55392  ],[159.82411  -20.772326 218.46661 ],[137.38474    8.398422 293.18634 ],[115.7569      3.7344089 255.71417  ],[106.85292  25.19576 263.5105 ],[112.88985  32.80723 280.4277 ],[112.42232      0.47676086 325.70227   ],[ 85.95292     5.2226853 291.48932  ],[ 87.1892   27.53979 301.54276],[ 96.49424   34.476944 317.22278 ],[ 76.636375    2.7397919 361.24646  ],[ 62.058044   8.315012 332.16083 ],[ 64.231384  24.979458 337.04193 ],[ 69.39367   29.263304 347.5895  ],[162.26749 126.82645 318.52844],[178.26605 119.68016 289.9666 ],[195.45816 111.88373 262.2705 ],[211.83377 106.6144  239.5257 ]
508:[127.56371 145.97095 389.082  ],[137.60631   66.717674 273.57425 ],[144.15967   38.521767 241.08234 ],[149.34933   27.834541 219.6463  ],[154.34921   21.629356 201.8399  ],[ 96.373375  68.05906  251.32153 ],[ 98.79585   86.718216 212.08319 ],[109.61505 107.36786 219.64561],[114.807976 112.459404 237.74756 ],[ 65.49919  83.26146 254.79799],[ 60.5047    88.632706 211.90411 ],[ 70.297775 110.55933  216.80022 ],[ 75.13294 114.73934 235.2317 ],[ 34.66725 111.48224 257.00333],[ 27.002537 103.195946 225.9844  ],[ 24.826557 101.94594  208.66519 ],[ 23.82436 102.04258 196.20573],[127.70768 151.12929 314.52817],[129.64691 147.41318 281.28314],[102.332565 141.87642  262.66327 ],[ 75.44485 137.66205 254.1461 ]
509:[138.18776 183.07677 338.873  ],[192.82086 194.2084  200.77771],[204.4016  204.20575 160.03929],[212.11    210.95662 137.77588],[219.18477 217.21751 120.70779],[171.14139 155.0246  180.77075],[183.49068 147.92526 139.65173],[191.7054   143.26239  117.036934],[199.0103  139.22499  99.40433],[143.68343  123.670235 191.33058 ],[137.836   116.76639 148.76505],[133.52467  112.3941   125.038506],[129.31496 108.50179 106.39181],[102.05748  98.08831 208.00858],[ 84.61579 120.14839 190.72493],[ 86.158966 131.15225  204.24477 ],[ 91.76288 129.01112 215.21123],[108.22595 205.41977 271.49774],[ 99.98678 216.192   240.85666],[ 90.36906 186.6814  228.20552],[ 94.279816 167.03061  248.4985  ]
510:[146.18245 167.48077 405.191  ],[172.50583 135.29033 265.75485],[179.42345 128.68185 223.30307],[184.1     128.59999 199.2453 ],[188.38966 130.4197  180.30174],[134.92339 134.84488 243.47267],[128.83827 150.98553 203.52107],[134.42317 174.84494 203.95801],[140.36969 181.18735 221.4218 ],[102.92699 140.40588 250.1822 ],[ 98.291115 159.76514  211.48586 ],[104.905785 179.17386  224.90974 ],[108.37343 176.66405 243.94254],[ 68.17482 157.37074 260.11493],[ 72.91876 173.87119 231.92249],[ 77.10558 185.42949 244.37755],[ 76.85268 183.71947 256.7575 ],[155.14482 198.0403  338.133  ],[162.01312 208.0531  306.90204],[138.19638 204.62134 283.56937],[113.46824 198.27176 270.86288]
511:[142.99913 175.41714 371.924  ],[156.66498   62.405365 305.48038 ],[161.55154  34.53453 272.41956],[163.65378  24.47723 250.16907],[164.89767   20.228664 231.16977 ],[110.70624   50.822166 297.47385 ],[105.49095   46.048973 254.53555 ],[107.193184  69.58073  247.90138 ],[110.3085   82.35834 262.30966],[ 75.94956   64.647255 304.2652  ],[ 69.11466   72.220474 261.96143 ],[ 76.77632  95.19351 265.7286 ],[ 81.95184  99.01258 284.146  ],[ 38.70495  92.49564 302.87354],[ 39.969315 101.755035 271.2152  ],[ 48.97784  116.725655 272.2048  ],[ 52.591972 120.195366 283.65692 ],[138.07278 168.28374 298.82904],[138.59341 157.22083 267.204  ],[123.12419 140.30515 242.75015],[ 98.46277 126.84362 237.86613]
512:[119.16377 138.31708 413.843  ],[109.00161   17.335274 378.6584  ],[140.00931     6.9746256 349.93805  ],[155.1583    26.233315 349.4238  ],[156.81532  43.79295 357.75952],[ 85.95169   25.931618 320.2394  ],[115.607445  18.644552 289.23755 ],[132.61865  33.37166 298.9527 ],[135.60205   44.964447 314.3565  ],[ 72.893906  53.250427 292.70837 ],[ 76.30369   26.381681 258.6478  ],[ 82.50533   12.157492 239.67769 ],[ 88.10013     0.5002365 225.07024  ],[ 67.06829   86.718155 263.75253 ],[ 56.078857  76.41212  234.38245 ],[ 49.885963  70.4859   219.1253  ],[ 45.225025  65.96811  208.44275 ],[161.24219   97.871216 391.48083 ],[178.84964  70.15819 384.79004],[170.84674   60.287186 353.7748  ],[166.0259    48.205772 328.39664 ]
513:[126.63322 142.1921  411.201  ],[137.43456   27.062202 355.67676 ],[164.61746   34.307613 322.47626 ],[166.32524  58.74932 321.89337],[157.55533  71.9461  333.27338],[107.54501  34.12275 306.6278 ],[123.30954   26.742313 266.7444  ],[137.74112   45.371956 273.47632 ],[136.6024    54.321136 290.77332 ],[ 85.904236  59.03554  286.40518 ],[ 94.57817  40.78451 247.86505],[100.0058    29.573792 226.75786 ],[106.25112   21.631006 210.07016 ],[ 69.253494  93.08058  263.2444  ],[ 61.111782  71.240005 239.87163 ],[ 56.650845  59.273224 227.90717 ],[ 53.38247   50.505543 219.61879 ],[171.70714 132.33183 362.6388 ],[194.47803 118.91421 342.04132],[188.34032 109.71804 310.39978],[172.4744  105.51195 287.07953]
514:[120.107254 149.9423   389.057   ],[110.429855  53.948143 292.21005 ],[146.63326   43.514786 270.43533 ],[157.1635    52.799942 290.52396 ],[158.82715   60.346226 308.43643 ],[104.507614  77.79442  245.17624 ],[115.15439  53.3055  210.8161 ],[121.72834   38.405964 192.50107 ],[127.35332  25.86465 178.65744],[101.94644 110.82173 229.7545 ],[123.20252  94.51717 195.46136],[141.53717 101.58643 210.10785],[140.197  109.5228 227.8783],[109.06105 151.91109 217.31088],[107.164276 148.71037  184.51237 ],[106.85703 146.58531 167.14453],[106.73707 144.87383 154.76277],[163.60797 121.16153 350.15897],[180.34277 100.28463 329.98712],[181.8685   99.29426 296.51892],[179.15282 103.68159 268.47202]
515:[159.20662 154.9651  358.966  ],[165.20663  70.93701 244.58107],[165.88446   42.510895 211.63905 ],[166.93271   26.212208 193.36592 ],[168.74066   13.607849 178.58646 ],[124.88778  81.76789 218.44235],[115.14798  65.19385 179.40242],[109.06977   54.765404 158.07272 ],[104.178345  46.189857 141.24701 ],[ 94.88405 105.40098 219.62653],[ 87.269966 100.83302  177.0256  ],[ 82.18368  97.82372 153.24059],[ 77.50441   95.079445 134.50174 ],[ 68.306076 143.45702  220.53773 ],[ 62.885075 149.20456  188.48836 ],[ 59.981277 152.86557  171.62369 ],[ 57.82264 155.85439 159.6797 ],[203.31726 117.0953  333.70963],[222.5593   93.20898 320.2193 ],[241.80656  69.14796 307.02695],[262.13422   49.715557 302.29193 ]
516:[162.8492  179.52377 344.825  ],[173.01772  67.38566 269.1319 ],[179.68527  35.77719 239.97495],[186.41895   21.477013 221.24487 ],[193.53676   11.953739 205.7783  ],[131.93011  73.8139  235.52484],[130.05368  41.1272  206.85887],[130.60268   23.641872 189.69452 ],[132.04735   10.079723 175.74632 ],[100.747635 100.359886 226.66595 ],[ 87.58145  73.68645 194.90341],[ 80.27796  58.33131 177.25314],[ 74.22953   45.525063 163.8372  ],[ 73.61804 142.50258 214.11948],[ 59.20942  126.302704 189.22893 ],[ 51.350754 117.369354 176.39581 ],[ 45.880882 110.93438  167.18044 ],[176.36375 165.95241 276.30057],[183.8985  150.54295 247.51553],[155.64404 150.55829 229.48463],[129.31244 160.85562 233.20801]
517:[156.50351 154.25212 357.276  ],[177.45859   27.657066 325.86526 ],[204.00847   21.252478 291.9866  ],[219.47195   37.009468 281.34467 ],[223.55846   55.886276 284.09015 ],[148.44176   25.504044 275.72827 ],[149.00633  -13.526634 256.49374 ],[150.30247 -35.33922 245.3949 ],[153.79262  -51.519157 235.0702  ],[123.80789   48.613308 249.57498 ],[117.1321    13.544464 224.68945 ],[113.37468   -6.711565 211.41435 ],[110.35093 -23.15213 201.35773],[103.9249   84.48252 219.177  ],[ 93.47953  66.86508 193.29063],[ 87.61357  56.96229 180.10815],[ 83.23219   49.561394 171.03722 ],[202.95334 118.97884 328.4994 ],[223.88728   94.290085 319.837   ],[227.46634  72.43997 294.6737 ],[234.00223   51.760933 276.15582 ]
518:[150.23116 153.45576 376.178  ],[212.93367 161.34712 242.3555 ],[188.73335 177.9478  210.22388],[172.87445 176.60037 228.86075],[173.87817 171.13538 247.56094],[204.95369 121.40408 224.7042 ],[217.35747 125.14622 183.16118],[224.77101 128.07687 159.98567],[231.01694 131.06682 141.74782],[186.86838  90.10338 234.69202],[201.97923   76.199745 196.32497 ],[207.89523  69.13108 173.6162 ],[210.85931   63.937702 155.04703 ],[154.41904   59.908882 248.01231 ],[158.85577   42.514656 220.3114  ],[161.35895   32.682087 206.05283 ],[163.23758   25.293556 196.14667 ],[129.23615 187.94499 314.08246],[125.452995 204.56143  285.2314  ],[121.54144 201.04512 252.12909],[120.27178 177.83315 235.61108]
519:[104.5753  166.29305 382.218  ],[174.26765 126.57457 272.65936],[160.79437 124.71064 231.32323],[142.56583 134.83621 218.44511],[132.26738 147.00752 229.68666],[162.06505  80.46704 273.09735],[140.95659  83.79268 235.18887],[120.6876    96.456055 229.76112 ],[115.71877 105.59126 246.26657],[139.27777   55.435898 294.68008 ],[129.4743   42.72068 254.23389],[122.44209  35.3682  231.9372 ],[115.85511  29.30378 214.60498],[102.28995  35.77369 315.26016],[100.15938    6.854904 299.4884  ],[ 99.020355  -8.605692 291.369   ],[ 98.20157  -19.720036 285.7075  ],[100.705475 157.41495  311.11362 ],[105.42062 152.1514  278.359  ],[107.24964 129.9156  253.34598],[109.08544 110.83127 232.23508]
520:[102.05444  122.582924 403.861   ],[161.71936   12.890732 417.87256 ],[154.59377    -3.0405798 378.00906  ],[139.38416   12.417534 366.5912  ],[137.79228   25.501621 380.97324 ],[131.51292   -9.961914 444.04684 ],[119.1772   -22.253836 404.1668  ],[114.980225    -0.99606514 392.7149    ],[119.74897   11.297333 407.09204 ],[ 99.835      -4.3978424 459.53265  ],[ 86.93791  -16.711231 419.83725 ],[ 79.21614    -3.8281546 400.47095  ],[ 81.87957   13.416558 409.1943  ],[ 58.21772     2.3315277 460.9542   ],[ 52.14104   -4.621086 429.26318 ],[ 49.26276     5.3689346 415.186    ],[ 50.17029  17.11057 419.3767 ],[146.69641  94.49612 372.54572],[173.64775  76.65393 363.70923],[189.34058  47.08436 365.3836 ],[208.63795   26.374393 361.9252  ]
521:[114.72511 133.69627 428.683  ],[196.80731   85.213005 339.6428  ],[224.88121  112.077095 359.23505 ],[223.48442 118.81883 382.75635],[216.40515 119.26573 400.92926],[186.1733   109.885086 293.12628 ],[227.11398 124.52521 294.91675],[227.70235 139.01144 314.6767 ],[215.24617 144.43521 328.6766 ],[165.46486 134.45381 278.2132 ],[202.16016 153.3782  264.4654 ],[222.89073 164.07063 256.9442 ],[239.42967 172.60178 251.09154],[145.69756 168.1065  269.43243],[156.16124 177.70676 239.63428],[162.13686 183.18309 224.12447],[166.82513 187.41855 213.33871],[169.17216 134.34741 462.98807],[199.78516 128.0622  475.077  ],[231.09825  127.085754 463.1621  ],[238.17633 132.66734 436.10663]
522:[136.16635 165.5548  364.465  ],[204.45204 111.47902 255.91666],[227.91693  92.51643 224.55588],[241.82646  81.30988 207.77518],[253.35799  72.03891 195.06125],[174.32458  77.33571 241.5279 ],[183.27632  49.46953 209.32507],[188.63583   32.728935 192.24638 ],[192.40889   19.804203 178.1295  ],[139.35379  63.41514 250.81192],[133.43546   54.284737 208.67775 ],[123.525345  75.79872  202.38557 ],[122.86368  87.40046 218.05507],[ 93.45233  60.209   258.25714],[ 87.340225  71.87947  227.99121 ],[ 86.45147  86.91482 236.90192],[ 88.173935  87.11772  249.28107 ],[126.30014 171.7576  289.3449 ],[127.55627 171.58235 255.86069],[120.07372 156.53828 226.85869],[108.7073  135.7949  210.92856]
523:[139.56119 177.18658 397.186  ],[171.54019  77.58121 319.55875],[173.15392   42.008717 294.5453  ],[174.04305   22.220274 280.11337 ],[174.73604    6.646284 268.38556 ],[129.75476   60.985367 307.26358 ],[120.68931   51.862106 265.6912  ],[123.58481  72.86333 253.39412],[129.19601  85.04557 267.5602 ],[ 94.292465  68.63059  313.03076 ],[ 88.40029  59.63174 270.86462],[ 87.73647  80.70755 258.37372],[ 90.443794  93.95037  272.4403  ],[ 54.92041  89.86806 311.66046],[ 56.518375 101.22128  280.7067  ],[ 67.85939 113.49823 285.8942 ],[ 72.50197 115.73383 297.2828 ],[137.70192 172.33057 323.81537],[140.57594 163.52388 291.61313],[142.0653  152.76727 259.9034 ],[127.98462 136.82225 240.91019]
524:[167.71225 159.61398 379.31   ],[177.49504  108.135574 243.32745 ],[182.22879  89.74405 204.17361],[185.3791    78.631454 182.5579  ],[188.37111  69.57306 165.54132],[135.85724 112.80098 225.85448],[126.72336 102.68574 184.52733],[121.34954  98.36511 161.0091 ],[117.0242   96.52644 142.07549],[103.7645   125.996925 236.34872 ],[ 99.683914 143.29013  196.62502 ],[110.98417 162.93192 205.96085],[115.910095 161.84366  224.80553 ],[ 71.83629 152.58519 249.81662],[ 82.86239 175.0826  228.32532],[ 88.53118 179.98727 244.13864],[ 87.221855 175.30403  255.65404 ],[166.72841 190.1159  309.22537],[167.92291 199.36012 277.03967],[138.72527 197.15916 260.72766],[111.617874 189.2056   264.62408 ]
525:[115.060394 121.046364 407.16    ],[149.55428  75.06238 274.96765],[163.03262   62.069168 235.6842  ],[171.47661  53.93208 214.16351],[178.81383   46.863136 197.52722 ],[137.99753 104.84889 242.83875],[173.45992 111.40471 218.48471],[180.25198  119.976746 240.41736 ],[175.73859 122.86013 259.176  ],[123.583755 134.43884  241.14435 ],[154.27629 146.95064 212.94678],[165.47533 152.94516 233.90628],[162.48941 152.39484 253.17679],[113.82787 173.0256  246.84421],[116.9173  179.4782  214.61993],[118.85276 183.30211 197.65279],[120.520744 186.31224  185.63577 ],[151.65422 120.78268 352.28604],[167.78339 115.19565 323.4514 ],[160.13748 131.99014 295.4708 ],[143.08289 151.83511 284.13193]
526:[171.03194 167.17244 356.672  ],[176.21533   79.208405 247.94534 ],[179.11444   51.467506 214.543   ],[180.77097  34.97252 196.49239],[182.00592   21.492094 182.44518 ],[130.24847   61.518135 251.80775 ],[114.963165  30.801193 225.04008 ],[105.80017   13.479464 210.32104 ],[ 97.927216     0.21009731 198.38322   ],[ 96.43623  66.41095 275.57257],[ 78.56981  65.3435  235.90733],[ 79.751045  89.61745  232.7398  ],[ 88.07465   98.019455 248.25415 ],[ 58.511368  86.02113  299.5306  ],[ 53.62287  98.2119  269.2474 ],[ 56.414577 115.00206  273.31546 ],[ 59.219955 118.10053  285.09598 ],[149.92793 174.42747 285.6851 ],[142.65819 171.8312  253.07816],[117.01596 156.99095 237.40427],[ 93.1125  142.60915 231.48476]
527:[155.36528 146.18427 379.507  ],[192.2661    49.245007 291.1504  ],[202.00142   18.331177 262.11182 ],[2.0771684e+02 2.4416924e-01 2.4659256e+02],[212.49957  -14.510966 234.76114 ],[164.67892   56.821262 247.91452 ],[173.9295    25.226131 219.45659 ],[180.20598   7.35495 203.9041 ],[186.24104    -6.6188498 191.70238  ],[138.5871   79.22526 233.7786 ],[143.81708   61.336002 194.45557 ],[147.88786   50.703133 172.75249 ],[152.4325    42.355377 155.71628 ],[115.09361 114.96677 218.58342],[113.07012 112.51789 185.72778],[111.85158 111.04336 168.33258],[111.10216 109.98234 155.90019],[202.1705  106.5806  387.75348],[223.68774  81.00968 390.1902 ],[245.14319   55.343605 392.2746  ],[263.75626  34.12156 396.32806]
528:[171.24342 133.26184 388.248  ],[191.97995 114.96175 238.47522],[200.96175 110.50124 196.13008],[208.57088  112.087746 172.88707 ],[215.83405 114.55053 154.94962],[155.86938 128.55717 218.76907],[149.09305 139.47972 177.19434],[144.61569 147.00888 154.30507],[140.55106 154.0232  136.56108],[125.23461 142.07257 228.9087 ],[128.94554 163.11507 190.99933],[138.74405 180.916   204.70222],[141.46297 181.04993 224.01959],[ 94.463684 166.54054  246.70569 ],[109.46474 186.72626 225.32605],[116.671585 196.94557  237.56856 ],[117.21298 197.96248 250.01543],[181.84848 175.30716 330.8547 ],[188.3546  190.05142 301.4765 ],[164.019   196.72186 279.41495],[142.50745 185.16394 294.14313]
529:[162.45265 140.51367 374.886  ],[194.39238  68.67984 254.20776],[203.99687  43.84204 219.79095],[209.84511   28.727257 201.40633 ],[214.79373   15.942402 187.52722 ],[155.73955  66.91445 228.90482],[155.0131    43.587494 192.17603 ],[154.67683   29.197304 172.34013 ],[154.4218    16.771336 157.30347 ],[121.655464  79.01676  230.97668 ],[113.15427  60.13748 192.7016 ],[108.82982   51.574123 170.14897 ],[105.36314   45.208263 152.0374  ],[ 85.86926 105.26683 233.43616],[ 75.90625 103.83721 201.99925],[ 70.398766 103.47663  185.39233 ],[ 66.40511  103.601944 173.54807 ],[206.5809  164.12515 325.76562],[229.65775 168.56491 301.87946],[253.31023 173.07736 278.56366],[277.38754 178.00787 264.09903]
530:[152.01306 181.1157  354.957  ],[245.95024 134.96191 264.81186],[239.05594 154.7744  226.68558],[217.67055 164.59283 233.53516],[209.72736 162.1575  251.18582],[224.24292  95.0456  249.56506],[248.94456  78.59564 217.73888],[261.92316  71.39692 198.23534],[272.09167  66.63302 182.28299],[189.67049  75.12185 255.26886],[209.37177  49.82379 225.84868],[219.33405   37.370182 207.23917 ],[227.62914   27.025042 192.93042 ],[141.90742  64.52769 256.69235],[146.31662   40.401115 234.60046 ],[148.59457   27.780874 222.6928  ],[150.23546  18.64959 214.31552],[157.1828  209.09831 282.89978],[166.4216  220.15767 252.64854],[166.99976 205.07867 222.72   ],[162.33205 182.11359 206.46979]
531:[118.7644 158.8989 386.805 ],[179.88724   47.334694 379.729   ],[176.82585   48.255672 336.33017 ],[164.45941  65.02063 323.42047],[153.35757  80.92546 321.33325],[144.10175  18.02353 379.52155],[139.90555  14.39789 336.35992],[135.51318   29.673328 317.7046  ],[132.62383   48.817204 315.30984 ],[107.0404    19.264915 380.7553  ],[110.8911   -10.850296 349.5796  ],[112.10303  -26.017334 330.36642 ],[112.641174 -37.52059  314.61978 ],[ 61.858692  28.755402 367.0475  ],[ 68.65807    -3.5423775 366.5935   ],[ 72.262314 -20.664291 366.2744  ],[ 74.83669  -32.893547 366.0108  ],[131.26553  123.226456 332.22534 ],[143.76974   99.700836 311.90314 ],[137.76736  68.43233 301.4303 ],[138.07181  42.50402 289.5609 ]
532:[128.54935 158.59451 390.304  ],[204.50725   59.143227 366.65515 ],[207.63231  64.30553 323.55917],[191.68831   82.846504 321.92386 ],[185.01915  86.66594 339.85443],[172.22754   26.995827 351.9635  ],[174.77686  25.11456 308.56256],[169.25581  46.24018 297.43243],[164.70134  59.58806 310.91064],[134.49345   24.208183 346.44424 ],[139.4929      4.1156063 308.16928  ],[142.38716    -7.5025616 286.78485  ],[144.596    -16.347641 269.53793 ],[ 89.615746  31.895164 328.40887 ],[101.65135     1.7600994 322.35858  ],[108.05149  -14.176706 318.99573 ],[112.632935 -25.542519 316.52988 ],[137.88219 153.91235 316.1738 ],[148.65158 146.32968 285.36267],[143.87389 121.57463 263.27673],[124.63338 105.91319 277.33997]
533:[166.7768  144.37138 380.566  ],[147.69714  84.76453 249.0946 ],[146.97444  66.21974 209.73412],[146.6641   54.65629 188.12756],[147.96114  47.00494 170.22937],[108.913666 101.79286  233.64221 ],[ 91.86264 101.03456 193.61264],[ 81.568115 101.67035  171.38042 ],[ 72.258026 102.2726   154.24768 ],[ 84.37463 125.34045 244.64886],[ 91.553406 144.67703  206.33124 ],[104.73168 158.24947 221.91249],[106.340225 155.77466  241.19614 ],[ 64.47752 161.65218 257.56625],[ 67.99074 163.068   224.77545],[ 79.60015 176.05727 223.1164 ],[ 83.45973 181.28856 233.79295],[203.60661 127.71938 326.0249 ],[219.10335 114.13836 299.60126],[227.64047 101.96832 269.5607 ],[234.53671  90.96837 244.16986]
534:[119.26808 156.63208 428.225  ],[136.74689   38.829147 392.67755 ],[160.34175  45.27585 356.68585],[169.92206  63.17472 370.41544],[168.76425  71.07325 388.21555],[105.65006   42.493042 338.27283 ],[119.238    29.62968 298.98438],[132.96838   49.928837 298.71216 ],[131.19144   61.142395 314.57626 ],[ 82.56036   67.485016 313.5167  ],[ 87.00258  46.56968 275.61557],[ 93.003784  37.330956 253.72299 ],[ 99.04789   30.518074 236.47119 ],[ 64.63982  100.973694 286.24506 ],[ 56.545662  88.275955 256.87097 ],[ 53.041588  81.3627   241.18083 ],[ 50.642628  76.192726 230.05573 ],[146.08963 118.03831 387.3324 ],[159.50172  90.86542 373.03024],[168.37067  64.8058  353.90784],[163.87863   49.765846 330.09872 ]
535:[163.7437  164.22548 391.326  ],[179.97537   45.545525 344.15955 ],[194.06094   53.372734 303.73663 ],[193.30019  77.07365 309.92865],[188.26054  86.24157 326.39444],[140.12323   41.496895 313.54926 ],[149.1851    31.915607 272.07925 ],[156.56502  54.17909 264.97098],[154.98013  66.48548 280.0246 ],[109.30441   61.709526 301.9809  ],[111.40276   50.464394 259.9949  ],[122.3685   68.10014 246.98006],[127.97633  84.00656 256.78357],[ 80.82161  94.96228 282.58716],[ 73.08145   80.147095 254.12341 ],[ 68.87224  71.89946 239.27379],[ 65.783585  65.75153  228.83755 ],[205.20374 120.08321 383.9927 ],[224.3458   92.58096 384.0878 ],[243.24626  64.90132 383.89365],[257.28427   40.195877 381.47964 ]
536:[130.30998 169.74663 397.628  ],[157.93901  111.096436 274.0628  ],[152.67844  89.59228 236.59846],[148.27803  79.95143 214.49997],[143.5855    74.351006 196.41168 ],[121.21405  88.01195 265.19733],[105.353455  99.521706 226.34315 ],[104.5814   123.942314 228.26434 ],[106.448654 141.94017  235.55553 ],[ 89.39837  82.49609 280.6064 ],[ 73.417915  92.9496   241.50362 ],[ 72.08652 117.03531 245.8348 ],[ 78.31526 121.67083 263.73132],[ 50.11964   88.551346 296.394   ],[ 43.637123 105.92175  269.08414 ],[ 50.181057 119.27691  278.30743 ],[ 54.77878 120.82671 289.82745],[115.80465 181.57602 323.91348],[112.78025 183.29918 290.58655],[ 90.05316 163.35481 276.1252 ],[ 70.748856 146.54602  263.553   ]
537:[160.85432 158.66635 334.303  ],[211.69073  106.952415 206.46358 ],[232.9852  90.3524 172.3364],[246.127    80.17381 154.32689],[257.29794  71.85094 140.66998],[171.43083  80.86756 190.82114],[170.7114   63.08342 151.11111],[169.9145    52.011604 129.26086 ],[168.06802   44.831673 111.2162  ],[132.1413   72.46439 202.51714],[118.87686  88.05417 164.1154 ],[116.85028 110.12509 174.57584],[121.143135 111.94912  193.51825 ],[ 84.450195  77.59395  216.81165 ],[ 69.81221  72.78884 187.61876],[ 61.36783  70.85154 172.41377],[ 54.846275  69.49631  161.83623 ],[148.24167 182.13379 262.41138],[147.40002 189.48956 229.73132],[124.53216 167.65913 218.59933],[110.22352 147.88324 233.34482]
538:[158.57863 186.06256 365.     ],[166.7638  106.46985 252.49753],[175.39828  77.20213 221.47293],[180.66364  60.13095 204.69485],[185.64203   46.983788 191.16937 ],[125.5783  118.54021 225.78876],[116.41374  95.40395 190.08997],[110.7705    81.121506 170.98975 ],[106.0125   69.0127  156.45326],[ 95.16774 142.16261 227.06723],[ 86.91244 137.09221 184.64294],[ 81.621506 134.04465  160.9075  ],[ 76.89105 131.43863 142.16177],[ 68.496475 179.91592  227.72984 ],[ 78.507034 193.1787   199.2084  ],[ 92.0171 203.8793 202.2461],[ 96.337135 205.45963  213.86897 ],[169.22299 206.75385 291.44223],[175.48872 210.3666  258.72388],[146.63416 211.21684 241.691  ],[128.0496  208.07271 263.0915 ]
